"rule_id","bucket","authority","standard","standard_versions","severity","executability","pattern","status","core_id","cg_ids","tig_ids","fb_ids","p21_id_equivalent","p21_primitive","overlap_type","message","check_tree_preview","converted_at","notes"
"24","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RANDFL is present and has a value that is not Y or N",NA,NA,NA
"240","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of TRTAGy for a given value of TRTAGyN, where y is a single-digit integer [1-9]",NA,NA,NA
"241","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of TRTAGyN for a given value of TRTAGy, where y is a single-digit integer [1-9]",NA,NA,NA
"242","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of TRTxxAN for a given value of TRTxxA, where xx is an integer [01-99, zero-padded]",NA,NA,NA
"243","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of TRTxxA for a given value of TRTxxAN, where xx is an integer [01-99, zero-padded]",NA,NA,NA
"25","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ENRLFL is present and has a value that is not Y or N",NA,NA,NA
"252","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"AVAL is present or AVALC is present",NA,NA,NA
"254","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"PARAM is present",NA,NA,NA
"256","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"The values of USUBJID are not present in ADSL",NA,NA,NA
"26","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"COMPLFN is present and has a value that is not 1 or 0",NA,NA,NA
"261","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AEDECOD is not present",NA,NA,NA
"262","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AEBODSYS is not present",NA,NA,NA
"268","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ADURN is populated and ADURU is not populated",NA,NA,NA
"269","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"TRTEMFL is not equal to Y or null",NA,NA,NA
"27","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"FASFN is present and has a value that is not 1 or 0",NA,NA,NA
"270","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"PREFL is not equal to Y or null",NA,NA,NA
"271","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"FUPFL is not equal to Y or null",NA,NA,NA
"272","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"A variable with a prefix of AOCC and a suffix of FL is not equal to Y or null",NA,NA,NA
"278","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AESER is not present",NA,NA,NA
"279","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AESEVN is not equal to 1, 2, 3, or null",NA,NA,NA
"28","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ITTFN is present and has a value that is not 1 or 0",NA,NA,NA
"280","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of AESEV for a given value of AESEVN",NA,NA,NA
"281","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of AESEVN for a given value of AESEV",NA,NA,NA
"282","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ASEVN is not equal to 1, 2, 3, or null",NA,NA,NA
"283","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of ASEV for a given value of ASEVN",NA,NA,NA
"284","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of ASEVN for a given value of ASEV",NA,NA,NA
"285","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of SEVGRy for a given value of SEVGRyN",NA,NA,NA
"286","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of SEVGRyN for a given value of SEVGRy",NA,NA,NA
"287","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of AEREL for a given value of AERELN",NA,NA,NA
"288","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of AERELN for a given value of AEREL",NA,NA,NA
"289","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of AREL for a given value of ARELN",NA,NA,NA
"29","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"PPROTFN is present and has a value that is not 1 or 0",NA,NA,NA
"290","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of ARELN for a given value of AREL",NA,NA,NA
"291","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of RELGRy for a given value of RELGRyN",NA,NA,NA
"292","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of RELGRyN for a given value of RELGRy",NA,NA,NA
"293","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of AETOXGR for a given value of AETOXGRN",NA,NA,NA
"294","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of AETOXGRN for a given value of AETOXGR",NA,NA,NA
"295","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of ATOXGR for a given value of ATOXGRN",NA,NA,NA
"296","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of ATOXGRN for a given value of ATOXGR",NA,NA,NA
"297","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of TOXGGRy for a given value of TOXGGRyN",NA,NA,NA
"298","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of TOXGGRyN for a given value of TOXGGRy",NA,NA,NA
"30","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SAFFN is present and has a value that is not 1 or 0",NA,NA,NA
"304","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzNAM is populated and SMQzzCD is not populated",NA,NA,NA
"305","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzNAM is populated and SMQzzSC is not populated",NA,NA,NA
"306","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzCD is populated and SMQzzNAM is not populated",NA,NA,NA
"307","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzCD is populated and SMQzzSC is not populated",NA,NA,NA
"308","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzSC is populated and SMQzzNAM is not populated",NA,NA,NA
"309","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzSC is populated and SMQzzCD is not populated",NA,NA,NA
"31","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RANDFN is present and has a value that is not 1 or 0",NA,NA,NA
"310","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of SMQzzSC for a given value of SMQzzSCN",NA,NA,NA
"311","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of SMQzzSCN for a given value of SMQzzSC",NA,NA,NA
"312","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzSC is not equal to BROAD or NARROW, where zz is a zero-padded two-digit integer [01-99]",NA,NA,NA
"313","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SMQzzSCN is not equal to 1 or 2, where zz is a zero-padded two-digit integer [01-99]",NA,NA,NA
"32","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ENRLFN is present and has a value that is not 1 or 0",NA,NA,NA
"320","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"A dataset is named ADSL and the dataset label is not ""Subject-Level Analysis Dataset""",NA,NA,NA
"321","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"A dataset label is ""Subject-Level Analysis Dataset"" and the dataset is not named ADSL",NA,NA,NA
"322","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a given value of TRTP, there is more than one value of TRTPGy, where y is an integer [1-99, not zero-padded]",NA,NA,NA
"323","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a study, there is more than one value of APHASEN for a given value of APHASE, considering only those rows on which both variables are populated",NA,NA,NA
"324","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a study, there is more than one value of APHASE for a given value of APHASEN, considering only those rows on which both variables are populated",NA,NA,NA
"325","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a value of APERIOD, there is more than one value of ASPER for a given value of ASPERC, considering only those rows on which both variables are populated",NA,NA,NA
"326","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a value of APERIOD, there is more than one value of ASPERC for a given value of ASPER, considering only those rows on which both variables are populated",NA,NA,NA
"327","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of AVALCATy for a given value of AVALCAyN, considering only those rows on which both variables are populated",NA,NA,NA
"328","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of AVALCAyN for a given value of AVALCATy, considering only those rows on which both variables are populated",NA,NA,NA
"329","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of BASECATy for a given value of BASECAyN, considering only those rows on which both variables are populated",NA,NA,NA
"33","adam-v5.0","CDISC","ADaM-IG","1.0;1.1","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"A variable with a suffix of RFL has a value that is not Y or null",NA,NA,NA
"330","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of BASECAyN for a given value of BASECATy, considering only those rows on which both variables are populated",NA,NA,NA
"331","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of CHGCATy for a given value of CHGCATyN, considering only those rows on which both variables are populated",NA,NA,NA
"332","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of CHGCATyN for a given value of CHGCATy, considering only those rows on which both variables are populated",NA,NA,NA
"333","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of PCHGCATy for a given value of PCHGCAyN, considering only those rows on which both variables are populated",NA,NA,NA
"334","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of PCHGCAyN for a given value of PCHGCATy, considering only those rows on which both variables are populated",NA,NA,NA
"335","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"CRITyFL is present and CRITy is not present",NA,NA,NA
"336","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"CRITy is present and CRITyFL is not present",NA,NA,NA
"337","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"MCRITyML is present and MCRITy is not present",NA,NA,NA
"338","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"MCRITy is present and MCRITyML is not present",NA,NA,NA
"339","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"MCRITyML is populated and MCRITy is not populated",NA,NA,NA
"34","adam-v5.0","CDISC","ADaM-IG","1.0;1.1","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"A variable with a suffix of PFL has a value that is not Y or null",NA,NA,NA
"340","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of MCRITyML for a given value of MCRITyMN, considering only those rows on which both variables are populated",NA,NA,NA
"341","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of MCRITyMN for a given value of MCRITyML, considering only those rows on which both variables are populated",NA,NA,NA
"342","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of ANRLO for a given value of ANRLOC",NA,NA,NA
"343","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of ANRLOC for a given value of ANRLO",NA,NA,NA
"344","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of ANRHI for a given value of ANRHIC",NA,NA,NA
"345","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of ANRHIC for a given value of ANRHI",NA,NA,NA
"346","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"R2AyLO is present and AyLO is not present",NA,NA,NA
"347","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of AyLO for a given value of AyLOC",NA,NA,NA
"348","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of AyLOC for a given value of AyLO",NA,NA,NA
"349","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"R2AyHI is present and AyHI is not present",NA,NA,NA
"35","adam-v5.0","CDISC","ADaM-IG","1.0;1.1","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"A variable with a suffix of RFN has a value that is not 1 or null",NA,NA,NA
"350","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of AyHI for a given value of AyHIC",NA,NA,NA
"351","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of AyHIC for a given value of AyHI",NA,NA,NA
"352","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"AyIND is present and AyLO, AyHI, AyLOC, and AyHIC are all not present",NA,NA,NA
"353","adam-v5.0","CDISC","ADaM-IG","1.1;1.2","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"BASETYPE is present, ByIND is populated, and ByIND is not equal to AyIND where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a subject",NA,NA,NA
"354","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"BASETYPE is not present, ByIND is populated, and ByIND is not equal to AyIND where ABLFL is equal to Y for a given value of PARAMCD for a subject",NA,NA,NA
"355","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of REGIONy for a given value of REGIONyN, considering only those rows on which both variables are populated",NA,NA,NA
"356","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of REGIONyN for a given value of REGIONy, considering only those rows on which both variables are populated",NA,NA,NA
"359","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of DTHCAUS for a given value of DTHCAUSN, considering only those rows on which both variables are populated",NA,NA,NA
"36","adam-v5.0","CDISC","ADaM-IG","1.0;1.1","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"A variable with a suffix of PFN has a value that is not 1 or null",NA,NA,NA
"360","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of DTHCAUSN for a given value of DTHCAUS, considering only those rows on which both variables are populated",NA,NA,NA
"361","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"The value of ASTDT is greater than the value of AENDT, considering only those rows on which both variables are populated",NA,NA,NA
"362","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"The value of ASTDTM is greater than the value of AENDTM, considering only those rows on which both variables are populated",NA,NA,NA
"363","adam-v5.0","CDISC","ADaM-IG","1.0;1.1","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ONTRTFL is not equal to Y or null",NA,NA,NA
"364","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"DOSEON or DOSCUMA is present and DOSEU is not present",NA,NA,NA
"365","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"SDTM.EX is present and neither TRTEDT or TRTEDTM are present",NA,NA,NA
"366","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"RANDDT is not present when RANDFL is equal to Y for at least one record",NA,NA,NA
"367","adam-v5.0","CDISC","ADaM-IG","1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"The value of ADSL.USUBJID is equal to the value of DM.USUBJID and ADSL.ACTARM is not equal to DM.ACTARM",NA,NA,NA
"368","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"TRxxAGy is not present and both TRxxPGy and TRTxxA are present",NA,NA,NA
"369","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"*DTF is populated and neither *DT nor *DTM is populated",NA,NA,NA
"37","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of a variable which has a suffix of GRyN for a given value of a variable with the same root name and suffix of GRy",NA,NA,NA
"370","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"*TMF is populated and neither *TM nor *DTM is populated",NA,NA,NA
"373","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"CNSR is not present",NA,NA,NA
"374","adam-v5.0","CDISC","ADaM-IG","1.0;1.1;1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AVAL is not present",NA,NA,NA
"375","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, a variable which has a suffix of GRyN is populated and a variable with the same root name and suffix of GRy is not populated",NA,NA,NA
"376","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, a variable which has a suffix of GRy is populated and a variable with the same root name and suffix of GRyN is not populated",NA,NA,NA
"377","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, TRTxxP is populated and TRTxxPN is not populated",NA,NA,NA
"378","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, TRTxxPN is populated and TRTxxP is not populated",NA,NA,NA
"379","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, BTOXGRN is populated and BTOXGR is not populated",NA,NA,NA
"38","adam-v5.0","CDISC","ADaM-IG","1.0","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"There is more than one value of a variable which has a suffix of GRy for a given value of a variable with the same root name and suffix of GRyN",NA,NA,NA
"380","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, BTOXGR is populated and BTOXGRN is not populated",NA,NA,NA
"381","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of BTOXGR for a given value of BTOXGRN, considering only those rows on which both variables are populated",NA,NA,NA
"382","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of BTOXGRN for a given value of BTOXGR, considering only those rows on which both variables are populated",NA,NA,NA
"383","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of BTOXGRL for a given value of BTOXGRLN, considering only those rows on which both variables are populated",NA,NA,NA
"384","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Within a parameter, there is more than one value of BTOXGRLN for a given value of BTOXGRL, considering only those rows on which both variables are populated",NA,NA,NA
"385","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, BTOXGRL is populated and BTOXGRLN is not populated",NA,NA,NA
"386","adam-v5.0","CDISC","ADaM-IG","1.2;1.3","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"On a given record, BTOXGRLN is populated and BTOXGRL is not populated",NA,NA,NA
