"core_id","cg_ids","tig_ids","fb_ids","rule_type","description","outcome_message","core_executable","cg_executability","overlap_type"
"CORE-000149","CG0259","","","Record Data","Trigger error when TSVAL is null and TSVALNF is null","TSVALNF is null when TSVAL is null.",TRUE,"predicate","true-duplicate"
"CORE-000150","CG0260","","","Record Data","Trigger error when TSVAL is populated and TSVALNF is also populated.","TSVALNF is not null when TSVAL is populated",TRUE,"predicate","true-duplicate"
"CORE-000151","CG0261","","","Record Data","Trigger error when TSVAL1 is populated and TSVAL is null","TSVAL is null when TSVAL1 is populated.",TRUE,"predicate","true-duplicate"
"CORE-000152","CG0265","TIG0467","","Record Data","When TSVAL and TSVALCD are populated, there must be a one-to-one relationship between TSVALCD and TSVAL","There is not a one-to-one relationship between TSVAL and TSVALCD",TRUE,"predicate","true-duplicate"
"CORE-000153","CG0266","","","Record Data","Trigger error when TSVCDVER is populated and TSVCDREF is null","TSVCDREF is null when TSVCDVER is populated",TRUE,"predicate","true-duplicate"
"CORE-000154","CG0268","TIG0167; TIG0470","","Record Data","TSSEQ must be unique within TSPARMCD","TSSEQ is not unique within TSPARMCD",TRUE,"predicate","true-duplicate"
"CORE-000155","CG0293","TIG0475","","Record Data","Trigger error when ARMCD is populated and ARMCD is not in TA.ARMCD","ARMCD is not in TA.ARMCD",TRUE,"predicate","true-duplicate"
"CORE-000156","CG0294","TIG0476","","Record Data","Trigger error when ARM is populated and ARM is not in TA.ARM","ARM is not in TA.ARM",TRUE,"predicate","true-duplicate"
"CORE-000157","CG0297","TIG0479","","Record Data","The length of ARMCD is limited to 20 characters.","Length of ARMCD is greater than 20",TRUE,"predicate","true-duplicate"
"CORE-000158","CG0163","TIG0396","","Record Data","IDVAR must be specified.","IDVAR should not be missing when RDOMAIN is not in (empty, DM).",TRUE,"predicate","true-duplicate"
"CORE-000159","CG0341","TIG0506","","Record Data","Raise an error when --TESTCD = 'OTHER'","--TESTCD is equal to 'OTHER'",TRUE,"narrative","core-is-better"
"CORE-000160","CG0342","TIG0507","","Record Data","Raise an error when --TRT = 'OTHER'","--TRT is equal to 'OTHER'",TRUE,"narrative","core-is-better"
"CORE-000161","CG0343","TIG0508","","Record Data","Raise an error when --TERM = 'OTHER'","--TERM is equal to 'OTHER'",TRUE,"narrative","core-is-better"
"CORE-000162","CG0344","TIG0509","","Record Data","Raise an error when --TESTCD = 'MULTIPLE'","--TESTCD is equal to 'MULTIPLE'",TRUE,"narrative","core-is-better"
"CORE-000163","CG0345","TIG0510","","Record Data","Raise an error when --TRT = 'MULTIPLE'","--TRT is equal to 'MULTIPLE'",TRUE,"narrative","core-is-better"
"CORE-000164","CG0346","TIG0511","","Record Data","Raise an error when --TERM = 'MULTIPLE'","--TERM is equal to 'MULTIPLE'",TRUE,"narrative","core-is-better"
"CORE-000165","CG0090","TIG0355","FB3701","Record Data","Time point reference (--TPTREF) should be present in the dataset, when reference time point (--RFTDTC) is also present in the dataset.","--TPTREF is missing when --RFTDTC is present.",TRUE,"predicate","true-duplicate"
"CORE-000166","CG0091","TIG0356","","Record Data","Raise an error when --TPT is not present but --TPTNUM is present in dataset.","--TPT is not present when --TPTNUM is present in a dataset",TRUE,"predicate","true-duplicate"
"CORE-000167","CG0092","TIG0357","","Record Data","Raise an error when--ELTM is present but --TPTREF is not present in dataset.","--TPTREF must be present when --ELTM is present in a dataset",TRUE,"predicate","true-duplicate"
"CORE-000168","CG0034","TIG0315","","Record Data","If VISITNUM is not null then VISITNUM should be among SV.VISITNUM","VISITNUM is not among VISITNUM in SV domain.",TRUE,"predicate","true-duplicate"
"CORE-000169","CG0185","TIG0414","","Record Data","Raise a warning when LBTOXGR is not numeric","Verify that LBTOXGR value is not from a numeric scale",TRUE,"narrative","core-is-better"
"CORE-000170","CG0541","TIG0634","","Record Data","Raise an error when --LOBXFL is not 'Y' or null","Value of --LOBXFL must be 'Y' or null",TRUE,"narrative","core-is-better"
"CORE-000171","CG0058","TIG0332","","Record Data","Raises an error when --ENRTPT is present in dataset but --ENTPT is not present in dataset.","--ENTPT should be present when --ENRTPT is present in a dataset",TRUE,"predicate","true-duplicate"
"CORE-000172","CG0409","TIG0168; TIG0565","","Record Data","Raise an error when STUDYID is not equal to DM.STUDYID. The STUDYID in all domains must be the same in all records across the study.","STUDYID is not equal to DM.STUDYID",TRUE,"predicate","true-duplicate"
"CORE-000173","CG0414","TIG0569","","Record Data","Raise an error when ETCD is not equal to 'UNPLAN' and not equal to TE.ETCD","ETCD is not equal to 'UNPLAN' and not equal to TE.ETCD",TRUE,"predicate","true-duplicate"
"CORE-000174","CG0356","","","Record Data","Verify variable SPECIES does not exist in DM dataset","SPECIES is present in DM dataset.",TRUE,"predicate","true-duplicate"
"CORE-000175","CG0357","","","Record Data","Verify variable STRAIN does not exist in DM dataset","STRAIN is present in DM dataset.",TRUE,"predicate","true-duplicate"
"CORE-000176","CG0358","","","Record Data","Verify variable SBSTRAIN does not exist in DM dataset","SBSTRAIN is present in DM dataset.",TRUE,"predicate","true-duplicate"
"CORE-000177","CG0227","TIG0440","","Record Data","Raise an error when DM.RFENDTC is empty and --ENRF is not empty.","DM.RFENDTC is empty, but --ENRF is completed.",TRUE,"predicate","true-duplicate"
"CORE-000178","CG0172","","","Record Data","Raise an error when SSSTRESC = 'DEAD' and SSDTC < max DS.DSSTDTC.","SSSTRESC = 'DEAD', but SSDTC < max DS.DSSTDTC.",TRUE,"narrative","core-is-better"
"CORE-000179","CG0307","TIG0482","FB0916","Record Data","TSPARMCD and TSPARM should have a one-to-one relationship.","TSPARM and TSPARMCD do not have a one-to-one relationship.",TRUE,"predicate","true-duplicate"
"CORE-000180","CG0308","TIG0483","","Record Data","Raise an error when DOMAIN value length is not equal 2.","Domain value length is not equal 2.",TRUE,"predicate","true-duplicate"
"CORE-000181","CG0309","","","Record Data","Raise an error when AP-- domain value length is not equal to 4.","AP-- Domain value length is not equal to 4.",TRUE,"predicate","true-duplicate"
"CORE-000182","CG0310","TIG0485; TIG0128","","Variable Metadata Check","Raise an error when variable name length is greater than 8.","Variable name length is greater than 8.",TRUE,"predicate","true-duplicate"
"CORE-000183","CG0318","TIG0489","","Domain Presence Check","Raise an error when a PP dataset is present in study, but a PC dataset is not present in study.","PP dataset is present in  study, but PC dataset is not present in study.",TRUE,"predicate","true-duplicate"
"CORE-000184","CG0083","TIG0348","FB0910","Record Data","--BODSYS and --BDSYCD  have a one-to-one relationship.","--BODSYS and --BDSYCD do not have a one-to-one relationship.",TRUE,"predicate","true-duplicate"
"CORE-000185","CG0123","TIG0380","","Record Data","Trigger error if length of ACTARMCD is greater than 20 characters","Length of ACTARMCD is greater than 20 characters",TRUE,"predicate","true-duplicate"
"CORE-000186","CG0150","TIG0391","","Record Data","Trigger error if SUBJID is not unique","SUBJID is not unique within study",TRUE,"predicate","true-duplicate"
"CORE-000187","CG0168","TIG0400","","Record Data","Trigger error when IDVAR is not null and CODTC is not null","CODTC is populated when IDVAR is also populated",TRUE,"predicate","true-duplicate"
"CORE-000188","CG0191","","","Domain Presence Check","Trigger error if MS dataset is present and MB dataset is not present.","The MB dataset is not present when the MS dataset is present.",TRUE,"predicate","true-duplicate"
"CORE-000189","CG0665","TIG0699","","Record Data","Raise an error when AGE is not blank and AGEU is blank.","AGEU is missing when AGE is provided.",TRUE,"predicate","true-duplicate"
"CORE-000190","CG0666","TIG0700","","Record Data","Raise an error when AGEU is not blank and AGE is blank.","AGE is missing when AGEU is provided.",TRUE,"predicate","true-duplicate"
"CORE-000191","CG0529","TIG0622","","Record Data","Raise an error when ARM is not empty and RFENDTC is empty.","RFENDTC is missing when ARM is provided.",TRUE,"predicate","true-duplicate"
"CORE-000192","CG0530","TIG0623","","Record Data","Raise an error when ARMNRS is not blank and RFENDTC is provided.","RFENDTC is not blank when ARMNRS is provided.",TRUE,"predicate","true-duplicate"
"CORE-000193","CG0503","","","Record Data","Raise an error when variable MIDSDTC is present and MIDS variable is missing.","MIDS variable is missing when MIDSDTC variable is present in a dataset.",TRUE,"predicate","true-duplicate"
"CORE-000195","CG0338","TIG0503","","Record Data","Raise an error when --SCAT = --DECOD.","--SCAT is equal to --DECOD.",TRUE,"predicate","true-duplicate"
"CORE-000196","CG0337","TIG0502","","Record Data","Raise an error when --CAT = --DECOD.","--CAT is equal to --DECOD.",TRUE,"predicate","true-duplicate"
"CORE-000197","CG0339","TIG0504","","Record Data","Raise an error when --CAT = --BODSYS.","--CAT is equal to --BODSYS.",TRUE,"predicate","true-duplicate"
"CORE-000198","CG0340","TIG0505","","Record Data","Raise an error when --SCAT = --BODSYS.","--SCAT is equal to --BODSYS.",TRUE,"predicate","true-duplicate"
"CORE-000199","CG0406","TIG0563","","Record Data","Raise an error when length of --TEST > 40.","Value length of --TEST > 40.",TRUE,"narrative","core-is-better"
"CORE-000200","CG0348","TIG0513","","Record Data","Verify that --ORRES is not missing when either --STAT is null or --DRVFL not equal to 'Y'","--ORRES cannot be null when --STAT is null or --DRVFL not equal to 'Y'",TRUE,"predicate","true-duplicate"
"CORE-000201","CG0029","TIG0311; TIG0046","","Record Data","Trigger error when domain is not an AP-- domain and USUBJID is not present in DM.USUBJID","USUBJID is not found in DM.USUBJID",TRUE,"predicate","true-duplicate"
"CORE-000202","CG0419","TIG0574","","Record Data","When IDVAR is populated with a --SEQ value, RELTYPE must be null.","RELTYPE is populated when IDVAR is populated with a 'SEQ' value.",TRUE,"predicate","true-duplicate"
"CORE-000203","CG0411","TIG0567","","Record Data","Trigger error when the combination of IDVAR, IDVARVAL, and QNAM is not unique per parent subject record","The combination of IDVAR, IDVARVAL, and QNAM is not unique per parent subject record",TRUE,"narrative","core-is-better"
"CORE-000204","CG0410","TIG0566","","Record Data","When VISITNUM is present in TV.VISITNUM, SV.VISITNUM must be unique within subject","Scheduled or Contingent visit is not unique within subject",TRUE,"predicate","true-duplicate"
"CORE-000206","CG0371","TIG0535; TIG0058","","Record Data","When IDVAR is populated, IDVARVAL must equal a value of the variable referenced by IDVAR within the domain referenced by RDOMAIN","IDVARVAL does not equal a value of the variable referenced by IDVAR in domain = RDOMAIN.",TRUE,"narrative","core-is-better"
"CORE-000207","CG0467","TIG0597; TIG0276","","Record Data","Trigger error when --STDTC is present in a Findings general observation class","--STDTC is present in a Findings general observation class",TRUE,"narrative","core-is-better"
"CORE-000208","CG0512","TIG0607","","Record Data","Trigger error when study does not use multi-stage arm assignments and ACTARMCD ^= null, and ACTARMCD is not in TA.ARMCD","ACTARMCD is not in TA.ARMCD",TRUE,"predicate","true-duplicate"
"CORE-000209","CG0514","TIG0609","","Record Data","When study does not use multi-stage arm assignments and ACTARM is populated, ACTARM must be present in TA.ARM. This rule has been executed to identify","ACTARM value in DM dataset is not among the values of ARM variable in the TA dataset. This is allowed only in a multista",TRUE,"predicate","true-duplicate"
"CORE-000210","CG0516","TIG0611","","Record Data","When study does not use multi-stage arm assignments and ARMCD is populated, ARMCD must be present in TA.ARMCD. This rule has been executed to identify","ARMCD is not present in TA.ARMCD",TRUE,"predicate","true-duplicate"
"CORE-000211","CG0528","","","Record Data","SUPPDM must not include population flags.","Population flag is present in SUPPDM",TRUE,"narrative","core-is-better"
"CORE-000212","CG0535","TIG0628","","Record Data","When subject has more than one record per Epoch with DSCAT = DISPOSITION EVENT, DSSCAT must be present.","DSSCAT is not present when subject has more than one record per Epoch with DSCAT = 'DISPOSITION EVENT'.",TRUE,"narrative","core-is-better"
"CORE-000213","CG0536","TIG0629","","Record Data","Trigger error when there is more than one record per subject per DSSCAT per EPOCH","More than one record per subject per DSSCAT per EPOCH",TRUE,"predicate","true-duplicate"
"CORE-000214","CG0538","TIG0631","","Record Data","Trigger error when subject has more than one record per Epoch with DSCAT = 'DISPOSITION EVENT' and more than one record where DSSCAT = 'STUDY PARTICIP","More than 1 record exists per subject per EPOCH with DSCAT = 'DISPOSITION EVENT' and DSSCAT = 'STUDY PARTICIPATION'.",TRUE,"predicate","true-duplicate"
"CORE-000215","CG0539","","","Record Data","Trigger error when subject has more than one record per Epoch with DSCAT = 'DISPOSITION EVENT' and more than one record where DSSCAT = 'STUDY TREATMEN","More than 1 record exists per subject per EPOCH with DSCAT = 'DISPOSITION EVENT' and DSSCAT = 'STUDY TREATMENT'.",TRUE,"predicate","true-duplicate"
"CORE-000216","CG0545","","","Record Data","MIDSTYPE must be unique within subject when MIDSTYPE = TM.MIDSTYPE and TM.TMRPT = 'N'","MIDSTYPE is not unique within subject when MIDSTYPE = TM.MIDSTYPE and TM.TMRPT = 'N'",TRUE,"narrative","core-is-better"
"CORE-000217","CG0462","TIG0592","","Record Data","Raise an error when ECDOSE is empty, ECOCCUR is not equal to 'N', ECSTAT is empty and ECDOSTXT is empty","ECDOSE is empty, ECOCCUR is not equal to 'N' and ECSTAT is empty, but ECDOSTXT is also empty.",TRUE,"predicate","true-duplicate"
"CORE-000218","CG0465","TIG0595; TIG0055","","Record Data","Raise an error when IDVAR is empty and IDVARVAL is not empty","IDVAR is empty but IDVARVAL is not empty",TRUE,"predicate","true-duplicate"
"CORE-000219","CG0350","TIG0515","","Record Data","Raise an error when --SCAT = domain dataset label.","--SCAT is equal to domain dataset label.",TRUE,"narrative","core-is-better"
"CORE-000220","CG0372","TIG0536","","Record Data","Part A - Raise an error when --TESTCD > 8 chars or contains more than only letters, numbers and underscores, or starts with a number.","--TESTCD > 8 chars or contains more than only letters, numbers, underscores, or starts with a number.",TRUE,"narrative","core-is-better"
"CORE-000221","CG0417","TIG0572","","Record Data","Raise an error when QNAM > 8 chars or contains more than only letters in uppercase, numbers and underscores, or starts with a number.","QNAM > 8 chars or contains letters that are in not in uppercase, more than only letters, numbers, underscores, or starts",TRUE,"narrative","core-is-better"
"CORE-000222","CG0416","TIG0571","","Record Data","Raise an error when QLABEL > 40 chars.","QLABEL > 40 chars.",TRUE,"predicate","true-duplicate"
"CORE-000223","CG0513","TIG0608","","Record Data","Raise an error when ACTARMCD is empty and ARMNRS is not completed.","ACTARMCD is empty, but ARMNRS is not completed.",TRUE,"narrative","core-is-better"
"CORE-000224","CG0515","TIG0610","","Record Data","Raise an error when ACTARM is empty and ARMNRS is not completed.","ACTARM is empty, but ARMNRS is not completed.",TRUE,"narrative","core-is-better"
"CORE-000225","CG0094","TIG0359","","Record Data","Raise an error when --REASND is provided and --STAT is not equal to ""NOT DONE"".","--STAT should be ""NOT DONE"" when --REASND is provided.",TRUE,"predicate","true-duplicate"
"CORE-000226","CG0352","","","Record Data","Verifying presence of SEND variable --DTHREL","--DTHREL must never be used in SDTM-based data for human clinical trials",TRUE,"predicate","true-duplicate"
"CORE-000227","CG0178","TIG0407","","Record Data","Check if IETEST is not in TI.IETEST","IETEST is not in TI.IETEST",TRUE,"predicate","true-duplicate"
"CORE-000228","CG0179","TIG0408","","Record Data","Check if IETESTCD is present in TI.IETESTCD","IETESTCD from IE domain does not exist in IETESTCD of TI domain.",TRUE,"predicate","true-duplicate"
"CORE-000229","CG0361","","","Record Data","Verify that When USUBJID is populated, POOLID is not populated","POOLID must be null when USUBJID is populated",TRUE,"predicate","true-duplicate"
"CORE-000230","CG0362","","","Record Data","Verify that when POOLID is populated, USUBJID is not populated","USUBJID must be null when POOLID is populated",TRUE,"predicate","true-duplicate"
"CORE-000231","CG0363","","","Record Data","Verify that when RSUBJID populated, RSUBJID does not equal USUBJID","RSUBJID when populated cannot equal USUBJID",TRUE,"predicate","true-duplicate"
"CORE-000232","CG0364","","","Record Data","Verify when RSUBJID is populated it does not equal POOLID","When RSUBJID is populated, RUSBJID cannot equal POOLID",TRUE,"predicate","true-duplicate"
"CORE-000233","CG0365","","","Record Data","Related Device Identifier (RDEVID) and Related Subject or Pool Identifier (RSUBJID) should not both be populated for the same record.","RDEVID must be empty when RSUBJID is populated and RSUBJID must be empty when RDEVID is populated",TRUE,"narrative","core-is-better"
"CORE-000234","CG0366","","","Record Data","Verify that RSUBJID is empty when RDEVID is populated","RSUBJID must be missing when RDEVID is populated",TRUE,"narrative","core-is-better"
"CORE-000235","CG0367","","","Record Data","Verify that RSUBJID=DM.USUBJID when RSUBJID is populated and RSUBJID is not equal to POOLID","RSUBJID must equal DM.USUBJID when RSUBJID is populated and RSUBJID does not equal POOLID",TRUE,"predicate","true-duplicate"
"CORE-000236","CG0079","TIG0345","","Record Data","Raise an issue if MHSTDTC has a non-empty date that later than DM.RFSTDTC","MHSTDTC ^= null and MHSTDTC is on or after the DM.RFSTDTC. The medical history dataset should include the subject's prio",TRUE,"predicate","true-duplicate"
"CORE-000237","CG0027","TIG0309","","Record Data","Trigger error when --SCAT is not null and --SCAT is equal to --CAT","--SCAT is equal to --CAT",TRUE,"predicate","true-duplicate"
"CORE-000238","CG0147","TIG0388","","Record Data","Raise an error when EX records are present for subject but RFXENDTC does not equal the latest value of EX.EXSTDTC or EX.EXENDTC","RFXENDTC does not equal the latest value of EX.EXSTDTC or EX.EXENDTC",TRUE,"narrative","core-is-better"
"CORE-000239","CG0148","TIG0389","","Record Data","Raise an error when EX records are present for subject but RFXSTDTC does not equal the earliest value of EX.EXSTDTC","RFXSTDTC does not equal the earliest value of EX.EXSTDTC",TRUE,"narrative","core-is-better"
"CORE-000240","CG0420","TIG0575","","Record Data","When --OCCUR = 'N', --STRF must not be populated","--STRF is populated when --OCCUR = ""N""",TRUE,"predicate","true-duplicate"
"CORE-000241","CG0421","TIG0576","","Record Data","When --OCCUR = 'N', --ENRF must not be populated","--ENRF is populated when --OCCUR = ""N""",TRUE,"predicate","true-duplicate"
"CORE-000242","CG0353","TIG0518","","Record Data","Raise an error when --EXCLFL is present in dataset.","--EXCLFL must never be used in SDTM-based human trials",TRUE,"predicate","true-duplicate"
"CORE-000243","CG0354","TIG0519","","Record Data","Raise an error when --REASEX is present in dataset.","--REASEX must never be used in SDTM-based human clinical trials",TRUE,"predicate","true-duplicate"
"CORE-000244","CG0355","TIG0520","","Record Data","Raise an error when --DETECT is present in dataset.","--DETECT must never be used in SDTM-based human trials",TRUE,"predicate","true-duplicate"
"CORE-000245","CG0510; CG0635","TIG0605; TIG0676","","Record Data","Raise an error when --NOMDY is present.","--NOMDY is present.",TRUE,"predicate","true-duplicate"
"CORE-000246","CG0511; CG0636","TIG0606; TIG0677","","Record Data","Raise an error when --NOMLBL is present.","--NOMLBL is present.",TRUE,"predicate","true-duplicate"
"CORE-000247","CG0552; CG0626","TIG0640; TIG0667","","Record Data","Raise an error when --RESLOC is present.","--RESLOC is present.",TRUE,"predicate","true-duplicate"
"CORE-000248","CG0026","TIG0265; TIG0308","FB3702","Record Data","Time point reference (--TPTREF) should be populated when reference time point (--RFTDTC) is populated.","--TPTREF value is missing when --RFTDTC is populated.",TRUE,"predicate","true-duplicate"
"CORE-000249","CG0032","TIG0313","","Record Data","Verify that visitdy is planned and exists in TV","Visit Day cannot be found in Trial Visit (TV) domain",TRUE,"predicate","true-duplicate"
"CORE-000250","CG0078","TIG0344","","Record Data","Raise an issue if MHENDTC has a non-empty date that is on or after DM.RFSTDTC","MHENDTC ^= null and MHENDTC is on or after the DM.RFSTDTC. The medical history dataset should include the subject's prio",TRUE,"narrative","core-is-better"
"CORE-000251","CG0067","","FB0614","Record Data","When survival status is completed as 'DEAD' in the SS dataset then a record should be present in the DS dataset where DSDECOD = 'DEATH' for the corres","SSTRESC in SS dataset is ""DEAD"", but a record is missing in DS dataset where DSDECOD = ""DEATH"".",TRUE,"predicate","true-duplicate"
"CORE-000252","CG0136","TIG0385","FB0605","Record Data","When a record is present in the DS dataset where DSDECOD = 'DEATH' then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the corres","DSDECOD is 'DEATH' in DS dataset, but DTHFL in DM dataset is not ""Y"".",TRUE,"predicate","true-duplicate"
"CORE-000253","CG0135","TIG0384","FB0604","Record Data","When a record is present in the AE dataset where AESDTH = 'Y' then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the correspondi","AESDTH is 'Y' in AE dataset, but DTHFL in DM dataset is not ""Y"".",TRUE,"predicate","true-duplicate"
"CORE-000254","CG0134","TIG0383","FB0603","Record Data","When a record is present in the AE dataset where AEOUT = 'FATAL' then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the  corresp","AEOUT is 'FATAL' in AE dataset, but DTHFL in DM dataset is not ""Y"".",TRUE,"predicate","true-duplicate"
"CORE-000256","CG0210","TIG0429; TIG0062","","Record Data","Raise an error when ETCD = 'UNPLAN', SEUPDES = null","Missing value for SEUPDES, when ETCD='UNPLAN'",TRUE,"predicate","true-duplicate"
"CORE-000258","CG0062","TIG0336","","Record Data","Raise an error when --STRTPT is present in dataset and --STTPT is not present in dataset.","--STRTPT is present in dataset, but --STTPT is not present in dataset.",TRUE,"predicate","true-duplicate"
"CORE-000259","CG0171","","FB0613","Record Data","Date/time of collection of subject status in SS dataset where survival status (SSSTRESC) = 'DEAD' should be equal to or after the Date/Time of Death (","SSDTC in SS dataset where SSTRESC = 'DEAD' is not equal to or after the DTHDTC in the DM dataset.",TRUE,"predicate","true-duplicate"
"CORE-000260","CG0085","TIG0350","","Record Data","Raise an error when --PRESP does not equal 'Y' or is not empty.","--PRESP does not equal 'Y' or is not empty.",TRUE,"predicate","true-duplicate"
"CORE-000261","CG0060","TIG0334","","Record Data","Raise an error when --STTPT is present in dataset and --STRTPT is not present in dataset.","--STTPT is present in dataset, but --STRTPT is not present in dataset.",TRUE,"predicate","true-duplicate"
"CORE-000262","CG0226","TIG0439","","Record Data","Raise an error when RFSTDTC in DM is empty and --STRF is not empty.","RFSTDTC in DM dataset is empty but --STRF is completed.",TRUE,"predicate","true-duplicate"
"CORE-000264","CG0039","","","Record Data","Raise an error if primary SOC is used for analysis and -BODSYS is not equal to -SOC","Primary analysis used but --BODSYS and --SOC are not equal",TRUE,"predicate","true-duplicate"
"CORE-000266","CG0042","TIG0321","","Record Data","Select record where AESCAN and AESCONG and AESDISAB and AESDTH and AESHOSP and AESLIFE and AESOD and AESMIE ^= ""Y"" However, AESER ^= ""N""","If AESER = ""N"" then none of the seriousness criteria (AESCAN, AESCONG, AESDISAB, AESDTH, AESHOSP, AESLIFE, AESOD, AESMIE",TRUE,"predicate","true-duplicate"
"CORE-000267","CG0050","TIG0328","","Record Data","Raise an error when --DECOD is not populated but --PTCD is populated","--DECOD should be populated when --PTCD is populated",TRUE,"predicate","true-duplicate"
"CORE-000268","CG0049","TIG0327","FB0909","Record Data","--DECOD and --PTCD should have a one-to-one relationship.","--DECOD and --PTCD do not have a one-to-one relationship.",TRUE,"predicate","true-duplicate"
"CORE-000269","CG0031","TIG0312","","Record Data","Verify when VISIT is not null in any given domain and VISIT is planned (SVPRESP = 'Y'), then VISIT should be among TV.VISIT.","For a planned visit (SVPRESP = 'Y'), non-missing VISIT value must be among those present in TV.VISIT.",TRUE,"predicate","true-duplicate"
"CORE-000270","CG0033","TIG0314","","Record Data","Verify when VISITNUM is not null in any given domain and VISITNUM is planned (SVPRESP = 'Y'), then VISIT should be among TV.VISITNUM.","For a planned visit (SVPRESP = 'Y'), non-missing VISITNUM value must be among those present in TV.VISITNUM. in TV.VISITN",TRUE,"predicate","true-duplicate"
"CORE-000271","CG0009","TIG0294","","Record Data","Raise an error when EPOCH is not in TA.EPOCH","EPOCH is not in TA.EPOCH",TRUE,"predicate","true-duplicate"
"CORE-000272","CG0336","TIG0501","","Record Data","Raise an error when --CAT = DOMAIN.","--CAT is equal to DOMAIN.",TRUE,"narrative","core-is-better"
"CORE-000289","CG0181","TIG0410","","Record Data","Raise an error when LBORRES is not a continuous measurement and LBORNRHI is not empty. The interpretation of the guidance is that LBORRES is populated","LBORRES is not a continuous measurement but LBORNRHI is not empty.",TRUE,"narrative","core-is-better"
"CORE-000290","CG0180","TIG0409","","Record Data","Raise an error when LBORRES ^= continuous measurement and LBORNRLO is not empty. The interpretation of the guidance is that LBORRES is populated (not ","LBORRES is not a continuous measurement but LBORNRLO is not empty.",TRUE,"narrative","core-is-better"
"CORE-000291","CG0105","TIG0370","","Domain Presence Check","When EC exists, EXVAMT should not be used.","EXVAMT is present when EC exists.",TRUE,"predicate","true-duplicate"
"CORE-000292","CG0107","","","Domain Presence Check","When EC exists, EXVAMTU should not be used.","EXVAMTU is present when EC domain exists.",TRUE,"predicate","true-duplicate"
"CORE-000293","CG0205","TIG0425","","Dataset Metadata Check","Trigger error if length of dataset name is greater than 8","Length of dataset name of SUPP-- dataset is greater than 8.",TRUE,"predicate","true-duplicate"
"CORE-000294","CG0270","TIG0471","","Record Data","Trigger error when TSPARMCD = 'AGEMAX' and TSVAL ^= null and TSVAL does not conform to ISO 8601","TSVAL is not in ISO 8601 format",TRUE,"predicate","true-duplicate"
"CORE-000295","CG0550","TIG0638","","Record Data","When --STREFC is populated, --STREFN should also be populated.","--STREFN is null when --STREFC is populated.",TRUE,"predicate","true-duplicate"
"CORE-000296","CG0540","TIG0633","","Record Data","When ACTARMCD is populated, disposition data for subject must be present","There are no DS records for subject who was assigned treatment",TRUE,"narrative","core-is-better"
"CORE-000297","CG0501","","","Domain Presence Check","Raise an error when variable MIDS is present in any of the dataset and TM dataset is missing.","TM dataset is missing when MIDS variable is present in one of the dataset.",TRUE,"predicate","true-duplicate"
"CORE-000298","CG0182","TIG0411","","Record Data","Raise an error when LBORRES is not a continuous measurement and LBSTNRLO is not empty. The interpretation of the guidance is that LBORRES is populated","LBORRES is not a continuous measurment but LBSTNRLO is not empty.",TRUE,"narrative","core-is-better"
"CORE-000299","CG0183","TIG0412","","Record Data","Raise an error when LBORRES is not a continuous measurement and LBSTNRHI is not empty. The interpretation of the guidance is that LBORRES is populated","LBORRES is not a continuous measurement but LBSTNRHI is not empty.",TRUE,"narrative","core-is-better"
"CORE-000302","","","FB0920","Record Data","QNAM and QLABEL should have a one-to-one relationship.","QNAM and QLABEL do not have a one-to-one relationship.",TRUE,NA,"core-only"
"CORE-000303","","","FB0901","Record Data","--TESTCD and --TEST should have a one-to-one relationship.","--TESTCD and --TEST do not have a one-to-one relationship.",TRUE,NA,"core-only"
"CORE-000305","","","FB4005","Record Data","Collected Duration (--DUR) value should not be negative.","Negative value for --DUR.",TRUE,NA,"core-only"
"CORE-000308","","","FB4002","Record Data","Dose (--DOSE) value should not be negative","Negative value for --DOSE.",TRUE,NA,"core-only"
"CORE-000310","","","FB4001","Record Data","Age (AGE) value should not be negative","Negative value for AGE.",TRUE,NA,"core-only"
"CORE-000318","","","FB0902","Record Data","ARMCD and ARM should have a one-to-one relationship.","ARMCD and ARM do not have a one-to-one relationship.",TRUE,NA,"core-only"
"CORE-000321","","","FB3201","Record Data","When Date/Time of Collection (--DTC) is present in the dataset, then the Study Day of Visit/Collection/Exam (--DY) should also present in the dataset.","Study Day of Visit/Collection/Exam (--DY) variable is missing when Date/Time of Collection (--DTC) is present.",TRUE,NA,"core-only"
"CORE-000322","CG0066","","","Record Data","When DSCAT equals PROTOCOL MILESTONE, then DSTERM should be equal to DSDECOD","DSCAT equals PROTOCOL MILESTONE but DSTERM is not equal to DSDECOD",TRUE,"predicate","true-duplicate"
"CORE-000324","CG0234","TIG0443","","Record Data","Trigger error when --ENRTPT is not in ('BEFORE', 'COINCIDENT', 'ONGOING', 'UNKNOWN')","--ENRTPT is not in ('BEFORE', 'COINCIDENT', 'ONGOING', 'UNKNOWN')",TRUE,"predicate","true-duplicate"
"CORE-000326","CG0568","","","Record Data","Trigger error when EXMETHOD exists in the EX dataset for human clinical trials","EXMETHOD is not to be used with human clinical trials",TRUE,"predicate","true-duplicate"
"CORE-000328","","","FB3202","Record Data","Study Day of Start (--STDY) variable should be included into dataset, when Start Study Date/Time (--STDTC) variable is present.","The Study Day of Start of Observation (--STDY) is not present in the dataset when Start Date/Time of Observation (--STDT",TRUE,NA,"core-only"
